"","V1","V2"
"1239",-58,-19
"1240",-58,-15
"1241",-57,-15
"1242",-54,-12
"1243",-50,-12
"1244",-54,-26
"1245",-52,-14
"1246",-48,-9
"1247",-50,-28
"1248",-45,-7
"1249",-42,-18
"1250",-46,-3
"1251",-49,-6
"1252",-35,-8
"1253",-52,-8
